,ParticipantID,TrialNum,TruePercent,ReportedPercent,AbsError,Log2Error,ChartType
0,6h452i,1,41,43,2,1.087462841250339,Normal
1,6h452i,2,45,45,0,0.0,Normal
2,6h452i,3,62,57,5,2.357552004618084,Normal
3,6h452i,4,52,31,21,4.400879436282184,Normal
4,6h452i,5,48,50,2,1.087462841250339,Normal
5,6h452i,6,40,26,14,3.820178962415188,Normal
6,6h452i,7,70,83,13,3.7142455176661215,Normal
7,6h452i,8,28,15,13,3.7142455176661215,Normal
8,6h452i,9,48,36,12,3.599912842187128,Normal
9,6h452i,10,75,87,12,3.599912842187128,Normal
10,6h452i,11,79,84,5,2.357552004618084,Normal
11,6h452i,12,16,23,7,2.8328900141647417,Normal
12,6h452i,13,10,23,13,3.7142455176661215,Normal
13,6h452i,14,36,28,8,3.0223678130284544,Normal
14,6h452i,15,95,90,5,2.357552004618084,Normal
15,6h452i,16,91,88,3,1.6438561897747248,Normal
16,6h452i,17,47,43,4,2.0443941193584534,Normal
17,6h452i,18,79,94,15,3.918863237274594,Normal
18,6h452i,19,61,63,2,1.087462841250339,Normal
19,6h452i,20,87,77,10,3.3398500028846247,Normal
20,6h452i,21,71,60,11,3.4757334309663976,Diverging
21,6h452i,22,17,21,4,2.0443941193584534,Diverging
22,6h452i,23,21,19,2,1.087462841250339,Diverging
23,6h452i,24,90,83,7,2.8328900141647417,Diverging
24,6h452i,25,72,83,11,3.4757334309663976,Diverging
25,6h452i,26,21,38,17,4.098032082960526,Diverging
26,6h452i,27,39,50,11,3.4757334309663976,Diverging
27,6h452i,28,90,85,5,2.357552004618084,Diverging
28,6h452i,29,78,88,10,3.3398500028846247,Diverging
29,6h452i,30,26,17,9,3.189824558880017,Diverging
30,6h452i,31,69,89,20,4.330916878114617,Diverging
31,6h452i,32,90,90,0,0.0,Diverging
32,6h452i,33,97,100,3,1.6438561897747248,Diverging
33,6h452i,34,97,88,9,3.189824558880017,Diverging
34,6h452i,35,10,27,17,4.098032082960526,Diverging
35,6h452i,36,42,28,14,3.820178962415188,Diverging
36,6h452i,37,99,100,1,0.1699250014423123,Diverging
37,6h452i,38,26,18,8,3.0223678130284544,Diverging
38,6h452i,39,90,100,10,3.3398500028846247,Diverging
39,6h452i,40,15,15,0,0.0,Diverging
40,6h452i,41,74,88,14,3.820178962415188,Stacked
41,6h452i,42,47,50,3,1.6438561897747248,Stacked
42,6h452i,43,88,82,6,2.6147098441152083,Stacked
43,6h452i,44,64,39,25,4.651051691178929,Stacked
44,6h452i,45,79,89,10,3.3398500028846247,Stacked
45,6h452i,46,50,24,26,4.7073591320808825,Stacked
46,6h452i,47,50,91,41,5.361943773735241,Stacked
47,6h452i,48,60,50,10,3.3398500028846247,Stacked
48,6h452i,49,46,50,4,2.0443941193584534,Stacked
49,6h452i,50,46,19,27,4.76155123244448,Stacked
50,6h452i,51,89,78,11,3.4757334309663976,Stacked
51,6h452i,52,84,87,3,1.6438561897747248,Stacked
52,6h452i,53,86,76,10,3.3398500028846247,Stacked
53,6h452i,54,73,50,23,4.531381460516312,Stacked
54,6h452i,55,36,19,17,4.098032082960526,Stacked
55,6h452i,56,36,10,26,4.7073591320808825,Stacked
56,6h452i,57,36,24,12,3.599912842187128,Stacked
57,6h452i,58,35,22,13,3.7142455176661215,Stacked
58,6h452i,59,12,15,3,1.6438561897747248,Stacked
