ParticipantID,TrialNum,Condition,TruePercent,ReportedPercent,AbsError,Log2Error,IndexA,IndexB,Values,TimestampISO
wcvd5c,1,UNKNOWN,85,25,60,5.909893083770042,2,4,0.601 0.175 0.816 0.898 0.963 0.783 0.799 0.338 0.249,2026-02-24T18:02:17.682Z
wcvd5c,2,UNKNOWN,60,33,27,4.7615512324444795,1,3,0.971 0.666 0.225 0.399 0.548 0.461 0.62,2026-02-24T18:02:55.600Z
wcvd5c,3,UNKNOWN,88,40,48,5.588714635582264,5,2,0.525 0.349 0.955 0.412 0.582 0.841 0.38 0.5,2026-02-24T18:03:16.886Z
wcvd5c,4,UNKNOWN,53,20,33,5.049848549450561,3,6,0.116 0.85 0.58 0.097 0.309 0.167 0.183,2026-02-24T18:03:30.914Z
wcvd5c,5,UNKNOWN,99,35,64,6.002815015607054,5,2,0.395 -0.909 -0.764 0.604 0.202 -0.753 -0.517 -0.852,2026-02-24T18:03:42.942Z
wcvd5c,6,UNKNOWN,36,19,17,4.098032082960526,1,4,0.912 0.262 0.644 0.429 0.729 0.311 0.963 0.861 0.745 0.867,2026-02-24T18:03:58.746Z
wcvd5c,7,UNKNOWN,23,34,11,3.4757334309663976,4,2,0.424 0.984 0.442 0.266 0.103 0.312,2026-02-24T18:04:13.153Z
wcvd5c,8,UNKNOWN,20,24,4,2.0443941193584534,7,0,0.171 -0.953 -0.621 0.134 -0.102 -0.584 -0.362 0.872 -0.103 0.451,2026-02-24T18:04:19.471Z
wcvd5c,9,UNKNOWN,24,25,1,0.16992500144231237,0,3,0.619 0.591 0.713 0.147 0.352 0.289,2026-02-24T18:04:26.903Z
wcvd5c,10,UNKNOWN,42,31,11,3.4757334309663976,1,4,0.757 0.255 0.36 0.145 0.602 0.419 0.646 0.392,2026-02-24T18:04:34.936Z
wcvd5c,11,UNKNOWN,61,23,38,5.252665432450248,8,6,0.341 0.41 0.4 0.891 0.631 0.876 0.644 0.152 0.394,2026-02-24T18:04:45.097Z
wcvd5c,12,UNKNOWN,34,39,5,2.357552004618084,4,3,0.311 0.803 0.535 0.528 0.178,2026-02-24T18:04:57.351Z
wcvd5c,13,UNKNOWN,15,27,12,3.599912842187128,1,5,0.658 0.712 0.697 0.152 0.488 0.109 0.96,2026-02-24T18:05:03.736Z
wcvd5c,14,UNKNOWN,96,28,68,6.090112419664289,3,0,0.638 0.79 0.485 0.614 0.789 0.413 0.436 0.305,2026-02-24T18:05:09.300Z
wcvd5c,15,UNKNOWN,26,24,2,1.0874628412503393,3,1,0.48 0.192 -0.762 0.747 -0.33 -0.994 -0.944,2026-02-24T18:05:16.906Z
wcvd5c,16,UNKNOWN,6,20,14,3.820178962415188,5,2,0.934 0.446 0.77 0.961 0.77 0.05,2026-02-24T18:05:26.032Z
wcvd5c,17,UNKNOWN,5,28,23,4.531381460516312,3,1,0.959 0.051 0.162 0.929 0.918 0.472 0.277,2026-02-24T18:05:35.060Z
wcvd5c,18,UNKNOWN,32,30,2,1.0874628412503393,2,8,0.449 0.981 0.966 0.992 0.133 0.428 0.452 0.381 0.311 0.252,2026-02-24T18:05:47.253Z
wcvd5c,19,UNKNOWN,83,40,43,5.430452551665532,4,3,-0.546 -0.725 -0.952 0.656 0.542,2026-02-24T18:06:02.186Z
wcvd5c,20,UNKNOWN,39,29,10,3.3398500028846247,5,0,0.552 0.637 0.514 0.497 0.826 0.215 0.631,2026-02-24T18:06:08.270Z
wcvd5c,21,UNKNOWN,31,38,7,2.8328900141647417,3,0,0.666 0.872 0.51 0.207 0.16,2026-02-24T18:06:17.975Z
wcvd5c,22,UNKNOWN,17,60,43,5.430452551665532,5,1,0.268 -0.16 0.481 0.204 -0.055 -0.928,2026-02-24T18:06:29.337Z
wcvd5c,23,UNKNOWN,39,40,1,0.16992500144231237,3,2,0.196 0.604 0.751 0.295 0.928,2026-02-24T18:06:38.075Z
wcvd5c,24,UNKNOWN,60,22,38,5.252665432450248,1,3,0.722 0.456 -0.183 0.272 -0.464 0.348 0.777 -0.347,2026-02-24T18:06:45.309Z
wcvd5c,25,UNKNOWN,93,27,66,6.047123912114026,3,0,0.601 0.535 0.166 0.56 0.526 0.419 0.551,2026-02-24T18:06:50.841Z
wcvd5c,26,UNKNOWN,90,27,63,5.980139577639157,5,4,-0.356 0.169 -0.945 -0.689 -0.664 0.738 0.94 0.929,2026-02-24T18:07:10.192Z
wcvd5c,27,UNKNOWN,64,33,31,4.960001932068081,4,5,0.074 0.795 0.769 -0.947 0.924 0.589,2026-02-24T18:07:27.726Z
wcvd5c,28,UNKNOWN,61,33,28,4.813781191217037,1,3,-0.099 0.458 -0.433 -0.753 -0.738 -0.458 -0.107,2026-02-24T18:07:33.456Z
wcvd5c,29,UNKNOWN,72,50,22,4.467605550082998,3,2,0.429 0.545 0.765 0.548 0.239 0.437,2026-02-24T18:07:41.336Z
wcvd5c,30,UNKNOWN,86,36,50,5.647458426454921,5,2,0.227 0.274 0.777 0.662 0.226 0.665 0.651,2026-02-24T18:07:45.865Z
wcvd5c,31,UNKNOWN,67,63,4,2.0443941193584534,3,1,0.727 0.556 0.201 0.828 0.114,2026-02-24T18:07:55.485Z
wcvd5c,32,UNKNOWN,70,62,8,3.0223678130284544,0,4,-0.853 0.053 -0.1 -0.099 0.598 -0.7 0.271,2026-02-24T18:08:01.870Z
wcvd5c,33,UNKNOWN,32,18,14,3.820178962415188,4,5,0.981 0.055 0.641 0.164 0.427 0.137 0.26 0.947,2026-02-24T18:08:08.300Z
wcvd5c,34,UNKNOWN,79,10,69,6.111135670234707,2,6,0.701 0.356 0.228 0.371 0.44 0.635 0.18,2026-02-24T18:08:13.401Z
wcvd5c,35,UNKNOWN,16,32,16,4.011227255423254,5,3,-0.172 -0.713 -0.2 0.125 -0.227 -0.791 0.495,2026-02-24T18:08:19.126Z
wcvd5c,36,UNKNOWN,23,41,18,4.1799090900149345,4,3,0.583 -0.245 0.391 -0.562 -0.131,2026-02-24T18:08:34.521Z
wcvd5c,37,UNKNOWN,100,45,55,5.7846348455575205,3,4,0.053 0.76 0.257 0.407 0.405,2026-02-24T18:08:45.942Z
wcvd5c,38,UNKNOWN,25,11,14,3.820178962415188,7,3,0.482 0.15 0.214 0.055 0.997 0.621 0.855 0.218,2026-02-24T18:08:51.375Z
wcvd5c,39,UNKNOWN,49,20,29,4.864186144654281,1,0,0.15 0.307 0.722 0.812 0.298 0.671,2026-02-24T18:09:00.534Z
wcvd5c,40,UNKNOWN,69,25,44,5.463524373271181,5,1,0.322 0.548 0.869 0.351 0.538 0.376 0.732,2026-02-24T18:09:07.663Z
wcvd5c,41,UNKNOWN,31,33,2,1.0874628412503393,0,5,0.116 0.159 0.086 0.502 0.291 -0.37,2026-02-24T18:09:16.441Z
wcvd5c,42,UNKNOWN,91,71,20,4.330916878114617,2,1,0.365 0.799 0.878 0.381 0.324,2026-02-24T18:09:22.929Z
wcvd5c,43,UNKNOWN,37,50,13,3.7142455176661224,3,4,0.461 -0.396 0.848 -0.303 -0.829,2026-02-24T18:09:36.514Z
wcvd5c,44,UNKNOWN,97,15,82,6.35974956032233,6,0,0.227 0.451 -0.374 -0.451 0.75 0.4 -0.233 0.781,2026-02-24T18:09:43.256Z
wcvd5c,45,UNKNOWN,90,22,68,6.090112419664289,5,4,0.642 0.601 0.173 0.835 0.575 0.638 0.24 0.105,2026-02-24T18:09:50.591Z
wcvd5c,46,UNKNOWN,58,32,26,4.7073591320808825,1,8,0.407 0.999 0.65 -0.751 -0.186 -0.373 0.207 0.61 -0.583,2026-02-24T18:09:59.171Z
wcvd5c,47,UNKNOWN,69,22,47,5.5584207132686645,2,6,-0.635 0.748 0.457 -0.652 0.332 -0.353 0.663 0.337,2026-02-24T18:10:04.861Z
wcvd5c,48,UNKNOWN,65,30,35,5.134426320220926,4,3,0.485 0.466 0.094 0.643 0.418 0.271 0.94 0.816 0.405,2026-02-24T18:10:14.855Z
wcvd5c,49,UNKNOWN,29,39,10,3.3398500028846247,4,0,-0.274 -0.909 0.505 0.169 0.951 0.378,2026-02-24T18:10:21.143Z
wcvd5c,50,UNKNOWN,69,15,54,5.7582232147267245,9,7,0.699 -0.494 0.772 0.696 0.624 0.645 0.423 -0.164 -0.912 0.239,2026-02-24T18:10:27.052Z
wcvd5c,51,UNKNOWN,64,32,32,5.005624549193878,4,5,0.673 0.361 0.264 0.734 0.691 0.445,2026-02-24T18:10:34.341Z
wcvd5c,52,UNKNOWN,93,27,66,6.047123912114026,8,4,0.097 0.776 0.81 0.09 0.741 0.968 0.779 0.969 0.801,2026-02-24T18:10:46.014Z
wcvd5c,53,UNKNOWN,81,20,61,5.933690654952234,3,4,0.901 0.447 0.903 0.205 0.167 0.174,2026-02-24T18:10:52.271Z
wcvd5c,54,UNKNOWN,14,37,23,4.531381460516312,3,4,0.877 0.79 0.743 0.138 0.972,2026-02-24T18:11:03.654Z
wcvd5c,55,UNKNOWN,83,20,63,5.980139577639157,2,3,0.155 0.417 0.826 0.683 0.902 0.578 0.681 0.959,2026-02-24T18:11:08.180Z
wcvd5c,56,UNKNOWN,73,22,51,5.675957032941749,1,5,0.829 0.527 0.143 0.822 0.973 0.726 0.127 0.936 0.281 0.15,2026-02-24T18:11:13.699Z
wcvd5c,57,UNKNOWN,52,34,18,4.1799090900149345,2,5,0.725 0.464 0.905 0.274 0.574 0.472 0.182,2026-02-24T18:11:19.250Z
wcvd5c,58,UNKNOWN,96,26,70,6.1318569606087925,1,4,0.874 0.577 0.422 0.422 0.556 0.403 0.13 0.983,2026-02-24T18:11:23.909Z
wcvd5c,59,UNKNOWN,44,23,21,4.400879436282184,4,2,0.559 -0.742 -0.167 -0.678 -0.376 -0.252 -0.986 0.512,2026-02-24T18:11:31.301Z
wcvd5c,60,UNKNOWN,45,31,14,3.820178962415188,1,4,0.275 0.312 0.711 0.799 0.69 0.443 0.243 0.806,2026-02-24T18:11:36.605Z
